budget,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,rating
30000000,862,en,21.946943,10/30/1995,373554033,81,Released,Toy Story,7.7,5415,2.5
65000000,8844,en,17.015539,12/15/1995,262797249,104,Released,Jumanji,6.9,2413,3
4556666,15602,en,11.7129,12/22/1995,687797090,101,Released,Grumpier Old Men,6.5,92,3
16000000,31357,en,3.859495,12/22/1995,81452156,127,Released,Waiting to Exhale,6.1,34,2
90989000,11862,en,8.387519,2/10/1995,76578911,106,Released,Father of the Bride Part II,5.7,173,4
60000000,949,en,17.924927,12/15/1995,187436818,170,Released,Heat,7.7,1886,2
58000000,11860,en,6.677277,12/15/1995,786698009,127,Released,Sabrina,6.2,141,2
68979080,45325,en,2.561161,12/22/1995,476565876,97,Released,Tom and Huck,5.4,45,2
35000000,9091,en,5.23158,12/22/1995,64350171,106,Released,Sudden Death,5.5,174,3.5
58000000,710,en,14.686036,11/16/1995,352194034,130,Released,GoldenEye,6.6,1194,2
62000000,9087,en,6.318445,11/17/1995,107879496,106,Released,The American President,6.5,199,2.5
57698699,12110,en,5.430331,12/22/1995,766898786,88,Released,Dracula: Dead and Loving It,5.7,210,1
76989798,21032,en,12.140733,12/22/1995,11348324,78,Released,Balto,7.1,423,4
44000000,10858,en,5.092,12/22/1995,13681765,192,Released,Nixon,7.1,72,4
98000000,1408,en,7.284477,12/22/1995,10017322,119,Released,Cutthroat Island,5.7,137,3
52000000,524,en,10.137389,11/22/1995,116112375,178,Released,Casino,7.8,1343,2
16500000,4584,en,10.673167,12/13/1995,135000000,136,Released,Sense and Sensibility,7.2,364,2
4000000,5,en,9.026586,12/9/1995,4300000,98,Released,Four Rooms,6.5,539,2.5
30000000,9273,en,8.205448,11/10/1995,212385533,90,Released,Ace Ventura: When Nature Calls,6.1,1128,1
60000000,11517,en,7.337906,11/21/1995,35431113,103,Released,Money Train,5.4,224,3
30250000,8012,en,12.669608,10/20/1995,115101622,105,Released,Get Shorty,6.4,305,4
56578677,1710,en,10.701801,10/27/1995,678698798,124,Released,Copycat,6.5,199,5
50000000,9691,en,11.065939,10/6/1995,30303072,132,Released,Assassins,6,394,5
76867980,12665,en,12.133094,10/27/1995,57568769,111,Released,Powder,6.3,143,4
3600000,451,en,10.332025,10/27/1995,49800000,112,Released,Leaving Las Vegas,7.1,365,4
4326466,16420,en,1.845899,12/15/1995,67787798,123,Released,Othello,7,33,3
12000000,9263,en,8.681325,10/20/1995,27400000,100,Released,Now and Then,6.6,91,3
66789798,17015,en,2.228434,9/27/1995,79809890,104,Released,Persuasion,7.4,36,4
18000000,902,fr,9.822423,5/16/1995,1738611,108,Released,The City of Lost Children,7.6,308,3
65787888,37557,zh,1.100915,4/30/1995,57687698,108,Released,Shanghai Triad,6.5,17,5
24345365,9909,en,9.481338,8/11/1995,180000000,99,Released,Dangerous Minds,6.4,249,4
29500000,63,en,12.297305,12/29/1995,168840000,129,Released,Twelve Monkeys,7.4,2470,3
36546546,78802,fr,0.745542,9/18/1996,56768797,50,Released,Wings of Courage,6.8,4,3
30000000,9598,en,14.404764,7/18/1995,254134910,89,Released,Babe,6,756,3
56758587,47018,en,1.493361,11/8/1995,687697990,121,Released,Carrington,6.4,16,3
11000000,687,en,6.891317,12/29/1995,39363635,122,Released,Dead Man Walking,7.3,350,3
57656878,139405,en,0.114469,10/20/1995,447568798,51,Released,Across the Sea of Time,3.5,2,3
7687989,33689,en,7.777735,11/17/1995,0,101,Released,It Takes Two,6.1,149,5
12000000,9603,en,9.882383,7/19/1995,54765887,97,Released,Clueless,6.9,828,1
565786,34615,en,0.894647,12/15/1995,676525,106,Released,"Cry, the Beloved Country",6.7,13,3
5876878,31174,en,4.561387,12/29/1995,78979809,104,Released,Richard III,6.9,50,3
10000000,11443,en,9.87957,10/6/1995,76786978,119,Released,Dead Presidents,6.6,80,3
19000000,35196,en,10.979269,12/29/1995,456476578,117,Released,Restoration,6.3,30,4
18000000,9312,en,10.870138,8/18/1995,122195920,101,Released,Mortal Kombat,5.4,452,4
20000000,577,en,10.448481,5/20/1995,21284514,106,Released,To Die For,6.7,177,5
10000000,11861,en,4.485958,10/6/1995,23574130,116,Released,How To Make An American Quilt,6.5,38,5
33000000,807,en,18.45743,9/22/1995,327311859,127,Released,Se7en,8.1,5915,3
55000000,10530,en,13.280069,6/14/1995,346079773,81,Released,Pocahontas,6.7,1509,4
6476577,8391,en,3.302524,5/5/1995,65765868,96,Released,When Night Is Falling,5.9,10,3
6000000,629,en,16.302466,7/19/1995,23341568,106,Released,The Usual Suspects,8.1,3334,4
57656879,117164,en,0.595949,11/22/1994,0,93,Released,Guardian Angel,6.3,3,3
15000000,11448,en,15.899134,9/13/1995,6700000,95,Released,Mighty Aphrodite,6.7,145,4
7687980,49133,it,1.361286,1/1/1994,65876979,116,Released,Lamerica,7.7,11,2
65786790,26441,en,5.982764,9/29/1995,57869989,100,Released,The Big Green,5.2,41,1
58769699,97406,en,4.093443,5/19/1995,76878766,115,Released,Georgia,6.1,15,3
65865877,124057,en,0.307075,7/8/1997,67578696,89,Released,Kids of the Round Table,3,1,4
47564864,9089,en,8.416802,11/2/1995,17519169,103,Released,Home for the Holidays,6.3,39,4
46745476,11010,it,10.168437,9/22/1994,465887878,108,Released,The Postman,7.6,181,3
7576887,99040,fr,0.120789,9/29/1995,575788998,100,Released,The Confessional,6.5,2,3
45000000,11359,en,10.673296,7/14/1995,5687678,96,Released,The Indian in the Cupboard,5.9,136,3
20000000,17182,en,4.733526,1/12/1996,476587699,101,Released,Eye for an Eye,5.8,65,3
55878878,2054,en,7.137117,12/29/1995,106269971,137,Released,Mr. Holland's Opus,6.9,115,2
57658767,10607,en,11.700115,1/12/1996,6558768877,89,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,3
567587687,19760,en,2.174487,1/12/1996,565877878,96,Released,Two If by Sea,4.5,14,3
15000000,9536,en,6.387469,1/12/1996,0,88,Released,Bio-Dome,4.4,110,3
5756786,11525,en,2.49535,1/12/1996,2409225,92,Released,Lawnmower Man 2: Beyond Cyberspace,2.8,32,3
6778978,40628,en,4.046208,10/22/1995,475876578,85,Released,Two Bits,5.4,11,2
6576876,4482,fr,2.518051,2/8/1995,798707809,95,Released,French Twist,6,43,3
3500000,10634,en,14.56965,4/26/1995,28215918,91,Released,Friday,7,513,4
19000000,755,en,15.339153,1/19/1996,25836616,108,Released,From Dusk Till Dawn,6.9,1644,3
50000000,11859,en,5.912223,11/3/1995,11534477,91,Released,Fair Game,4.1,54,4
68769798,28387,en,3.367276,10/6/1995,718490,96,Released,Kicking and Screaming,7,36,2
55876876,48750,fr,1.479446,3/22/1995,575876787,175,Released,Les Miserables,6.6,8,4
658756876,20927,en,10.412194,1/26/1996,19030691,87,Released,Bed of Roses,5.1,27,3
15000000,36929,en,2.936443,1/26/1996,2042530,90,Released,Big Bully,3.9,16,3
20000000,9102,en,12.758848,9/8/1995,5781885,108,Released,Screamers,6.1,154,4
7687676,124626,en,0.133893,2/18/1995,576867888,70,Released,Nico Icon,7.3,3,4
45765877,27526,en,5.756462,11/15/1995,576868789,111,Released,The Crossing Guard,6.1,74,4
44000000,9623,en,6.010579,2/2/1996,56658768,118,Released,The Juror,5.5,91,4
55878878,46785,fa,1.196256,1/1/1995,5757678,85,Released,The White Balloon,7.5,20,4
8000000,400,en,4.486179,12/1/1995,529766,116,Released,Things to Do in Denver When You're Dead,6.7,87,4
900000,880,nl,2.030174,9/12/1995,55687689,102,Released,Antonia's Line,7.2,26,3
5876998,146599,en,0.252287,1/26/1996,6869699,115,Released,Once Upon a Time... When We Were Colored,4.5,2,3
7676977,188588,en,0.531159,11/22/1995,657868679,108,Released,Last Summer in the Hamptons,0,0,5
68767699,8447,en,2.15166,9/10/1995,6766798,118,Released,Angels and Insects,6.3,17,3
38000000,10534,en,9.568604,2/2/1996,10300000,129,Released,White Squall,6.3,86,5
16000000,17414,en,4.814825,1/12/1996,0,88,Released,Dunston Checks In,5.1,59,3
66687666,13997,en,8.963037,2/1/1996,878932,87,Released,Black Sheep,6,124,3
8169363,2086,en,6.848591,11/22/1995,8175346,90,Released,Nick of Time,6.1,190,3
798797,61548,en,0.411424,9/14/1995,678768,91,Released,The Journey of August King,6.7,3,5
47000000,9095,en,12.866139,2/23/1996,12379402,104,Released,Mary Reilly,5.7,77,5
14000000,12158,en,9.071127,10/26/1995,19800000,100,Released,Vampire in Brooklyn,4.5,113,5
678687,9283,en,4.670562,2/9/1996,67986797,112,Released,Beautiful Girls,6.6,103,3
50000000,9208,en,14.957626,2/9/1996,150270147,108,Released,Broken Arrow,5.7,459,3
587578,40154,en,0.513391,12/1/1995,8798977,99,Released,A Midwinter's Tale,7.5,6,4
3000000,406,fr,12.108196,5/31/1995,76967899,98,Released,La Haine,7.9,695,4
6578675,45549,en,2.657647,12/6/1994,8787098,105,Released,Shopping,5.6,13,3
8669879,63076,en,0.638211,12/27/1995,87797989,106,Released,Heidi Fleiss: Hollywood Madam,6.8,4,4
786688,11062,en,4.807223,2/16/1996,87698690,111,Released,City Hall,6,67,3.5
7000000,13685,en,6.904831,2/21/1996,560069,91,Released,Bottle Rocket,6.8,285,3
7879878,47475,en,3.329264,2/16/1996,769879789,96,Released,Mr. Wrong,3.3,16,4.5
18000000,2045,en,2.464425,2/23/1996,7686879789,106,Released,Unforgettable,5.3,22,5
12000000,9614,en,9.592265,2/16/1996,41205099,92,Released,Happy Gilmore,6.5,767,2.5
24000000,688,en,5.951077,5/28/1995,182016617,135,Released,The Bridges of Madison County,7.3,397,5
6789798,11907,de,1.015068,11/7/1994,768967989,104,Released,Nobody Loves Me,5.1,5,2.5
6576987,10874,en,6.902423,2/16/1996,34327391,100,Released,Muppet Treasure Island,6.5,93,3
43545636,89333,en,0.976707,12/8/1995,787897098,95,Released,Catwalk,7,2,3
5568776,96357,en,0.001346,5/20/1995,545765869,110,Released,Headless Body in Topless Bar,0,0,3
72000000,197,en,20.755149,5/24/1995,210000000,177,Released,Braveheart,7.7,3404,3
1300000,103,en,14.092713,2/7/1976,28262574,114,Released,Taxi Driver,8.1,2632,2
7500000,33542,cn,12.314278,1/30/1995,32392047,91,Released,Rumble in the Bronx,6.5,245,3.5
35000000,43566,en,2.938293,2/23/1996,87897979,108,Released,Before and After,5.8,37,4
687686788,71754,en,0.372697,9/13/1995,5765876799,114,Released,Margaret's Museum,7.5,2,3
13365000,43612,en,1.254885,1/31/1995,678678980,106,Released,Happiness Is in the Field,7,23,5
55788887,51352,en,0.243986,6/8/1995,1769879,117,Released,Anne Frank Remembered,7.3,4,3
7678696,16934,en,6.178497,1/20/1995,658786987,99,Released,The Young Poisoner's Handbook,6.9,19,4
457688678,10324,en,2.891918,3/8/1996,658758768,92,Released,If Lucy Fell,5.4,11,3
25000000,78406,en,1.522412,9/29/1995,6278139,113,Released,Steal Big Steal Little,5.1,7,4
47657568,55731,en,1.317878,3/22/1996,5476568687,100,Released,Race the Sun,5.2,21,3.5
5676585,32119,en,0.86539,12/6/1992,578687898,90,Released,The Boys of St. Vincent,7,7,4.5
40000000,11066,en,6.506983,6/30/1992,70100000,117,Released,Boomerang,5.4,139,4
8768687,11104,cn,6.778979,7/14/1994,687698988,102,Released,Chungking Express,7.9,249,4
5868768,37975,it,1.702639,9/21/1995,689769879,113,Released,The Star Maker,6.8,29,4
7000000,2074,en,5.579088,3/22/1996,14702438,92,Released,Flirting with Disaster,6.3,66,3
17000000,27793,en,6.252377,10/26/1994,7676978907,95,Released,The Neverending Story III: Escape from Fantasia,4.4,105,3
65876787,44284,ar,0.406754,9/30/1994,7696780900,116,Released,The Silences of the Palace,4.3,3,3.5
5766897,290157,en,0.001178,1/1/1995,658669987,87,Released,Jupiter's Wife,0,0,3
6678688,110972,en,0.699066,2/9/1996,6587687990,95,Released,Pie in the Sky,7,2,3.5
568669897,32622,en,2.197439,1/1/1995,76869879008,99,Released,Angela,5.6,9,4
67876876,73067,it,0.637554,11/22/1995,6866979879,101,Released,Frankie Starlight,5.4,4,4
50000000,11863,en,11.418917,10/13/1995,9851610,95,Released,Jade,5.1,45,5
5875868,55475,es,0.291021,8/16/1995,786769878,102,Released,Nueba Yol,5.5,1,3
4567587,124636,en,0.001838,8/1/1995,65756877,87,Released,Sonic Outlaws,0,0,4
6768689,9101,en,5.184977,3/1/1996,6879898765,92,Released,Down Periscope,5.6,110,5
3456543,123360,en,0.276401,9/8/1995,678967898,97,Released,From the Journals of Jean Seberg,6.5,2,3
36546777,5757,en,0.540436,9/15/1995,78209935,86,Released,Man of the Year,3.8,2,3.5
76897087,39428,en,0.370342,8/23/1995,687687879,91,Released,The Neon Bible,7.2,5,3
56878979,124639,en,0.001205,8/1/1995,6869879899,122,Released,Target,0,0,2.5
60000000,9302,en,3.402749,3/1/1996,657879090,119,Released,Up Close & Personal,5.9,51,3
31000000,11000,en,6.49968,3/8/1996,185260553,117,Released,The Birdcage,6.7,303,3.5
4675768,249882,en,0.918504,10/12/1995,687900090,125,Released,Virgin Mary,7,2,3
75767879,16388,en,2.039196,8/9/1995,565786979,98,Released,The Brothers McMullen,6.3,23,3.5
19000000,9737,en,9.262184,4/7/1995,141407024,118,Released,Bad Boys,6.5,1729,3.5
6578697,30765,en,2.375865,8/25/1995,6676987900,81,Released,The Amazing Panda Adventure,5,31,4.5
65787987,10474,en,7.415144,4/21/1995,7656467677,102,Released,The Basketball Diaries,7.2,472,4.5
4000000,22279,en,0.922958,7/21/1995,851545,113,Released,An Awfully Big Adventure,6,11,3
57687987,30157,en,1.759012,8/5/1994,7687987908,105,Released,Amateur,6.5,21,4
52000000,568,en,18.761467,6/30/1995,355237933,140,Released,Apollo 13,7.3,1637,4
28000000,11780,en,10.193549,4/13/1995,31596911,139,Released,Rob Roy,6.5,151,5
67898999,34996,en,3.137285,1/10/1995,7698989,82,Released,The Addiction,6.4,46,5
100000000,414,en,13.321354,6/16/1995,336529144,121,Released,Batman Forever,5.2,1529,5
687899087,649,fr,10.142662,5/24/1967,7787980909,101,Released,Belle de Jour,7.3,163,4
6576878789,1873,en,2.04189,5/24/1995,6788989766,100,Released,Beyond Rangoon,6.4,21,3
2000000,5894,en,11.528147,9/15/1995,1275000,83,Released,Blue in the Face,6.8,28,3
11000000,1775,en,5.391556,6/8/1995,178104,91,Released,Canadian Bacon,5.9,57,5
50000000,8839,en,12.812539,5/26/1995,287928194,100,Released,Casper,6,1045,4
25000000,20649,en,4.558992,9/15/1995,13071518,128,Released,Clockers,6.8,69,5
50000000,10329,en,7.260574,6/9/1995,152022101,109,Released,Congo,5,214,3
53000000,8963,en,8.657365,5/12/1995,157387195,116,Released,Crimson Tide,7,508,5
75787989,26564,en,3.620388,9/10/1994,3174695,119,Released,Crumb,7.6,71,5
7000000,8068,en,6.950458,8/25/1995,25405445,104,Released,Desperado,6.8,898,5
27000000,8512,en,4.646132,9/15/1995,16140822,102,Released,Devil in a Blue Dress,6.3,88,5
90000000,1572,en,15.138855,5/19/1995,366101666,128,Released,Die Hard: With a Vengeance,6.9,2094,4
87879989,13552,en,7.120806,10/27/1995,658769899,80,Released,The Doom Generation,5.6,57,3
76876897,259209,en,0.523575,10/12/1995,7698798090,116,Released,Feast of July,0,0,3
55000000,6520,en,15.178338,7/7/1995,127600435,134,Released,First Knight,5.9,319,3
67578686,9073,en,7.575098,7/19/1995,7697980900,95,Released,Free Willy 2 - The Adventure Home,5.5,130,4
20000000,10428,en,14.810519,9/14/1995,7563728,107,Released,Hackers,6.2,406,1
768769,17447,en,3.196456,8/18/1995,87987980,92,Released,Jeffrey,6.5,19,4
25000000,9886,en,11.715868,5/26/1995,19075720,97,Released,Johnny Mnemonic,5.5,380,4
90000000,9482,en,8.184815,6/30/1995,113493481,96,Released,Judge Dredd,5.4,643,4
7898090,19326,en,3.676921,4/12/1995,17014653,88,Released,Jury Duty,4,34,5
1500000,9344,en,4.877872,7/28/1995,7412216,91,Released,Kids,6.8,280,5
500000,9071,en,10.058329,1/20/1995,1148752,89,Released,Living in Oblivion,7.2,64,5
6768787,8973,en,4.102409,8/25/1995,76987879,119,Released,Lord of Illusions,5.9,87,5
7879898,15730,en,0.354014,5/20/1993,87989099,100,Released,Love & Human Remains,7,7,3
67698799,47608,en,2.624771,5/26/1995,15453274,95,Released,Mad Love,5.5,27,5
6000000,2293,en,8.25547,10/20/1995,2122561,94,Released,Mallrats,6.8,400,5
15000000,9070,en,7.024227,6/30/1995,66000000,92,Released,Mighty Morphin Power Rangers: The Movie,5.2,153,4
78709808,68274,en,1.01115,9/29/1995,7689899,100,Released,Moonlight and Valentino,5.6,10,5
7677098,48787,en,2.466066,9/28/1995,7679898,95,Released,Mute Witness,6.4,36,5
7980809,34574,en,7.720056,9/13/1994,8779789,93,Released,Nadja,5.9,12,5
22000000,1642,en,13.304342,7/28/1995,110627965,114,Released,The Net,5.6,359,4
7698798,11472,en,8.482834,7/12/1995,69660733,103,Released,Nine Months,5.5,171,5
150000,36196,en,1.165039,6/9/1995,472370,94,Released,Party Girl,5.8,14,5
89808,11980,en,10.187623,9/1/1995,1890806,98,Released,The Prophecy,6.4,139,4
879879,58372,en,0.119713,11/17/1995,7678977,91,Released,Reckless,10,1,4
7687978,32646,en,8.180047,6/23/1995,57676888,119,Released,Safe,7.2,62,5
50000000,10533,en,6.752119,10/13/1995,10382407,135,Released,The Scarlet Letter,5.5,111,5
676878,56088,en,0.159596,8/25/1995,8909809,93,Released,The Show,5.3,2,5
45000000,10802,en,17.502375,9/22/1995,20350754,128,Released,Showgirls,4.9,261,5
7000000,10149,en,5.552946,6/9/1995,8349430,112,Released,Smoke,7.2,115,5
68768798,18402,en,3.743212,8/4/1995,50892160,106,Released,Something to Talk About,5.7,60,5
